51467.327595 r 18.093 0.009
51467.328428 i 16.934 0.006
51467.329262 u 22.264 0.574
51467.330095 z 16.237 0.009
51467.330928 g 19.573 0.018
51819.303592 r 18.092 0.007
51819.304425 i 16.925 0.005
51819.305259 u 21.894 0.219
51819.306092 z 16.253 0.008
51819.306925 g 19.601 0.014
52558.268877 r 18.081 0.007
52558.269710 i 16.906 0.005
52558.270544 u 21.751 0.172
52558.271377 z 16.236 0.008
52558.272210 g 19.578 0.013
52577.156373 r 18.080 0.007
52577.157206 i 16.902 0.005
52577.158040 u 21.737 0.212
52577.158873 z 16.230 0.008
52577.159706 g 19.587 0.014
52586.159850 r 18.131 0.007
52586.160683 i 16.941 0.005
52586.161517 u 21.964 0.236
52586.162350 z 16.268 0.008
52586.163183 g 19.619 0.013
52931.170535 r 18.102 0.007
52931.171368 i 16.919 0.005
52931.172202 u 22.072 0.218
52931.173035 z 16.226 0.007
52931.173868 g 19.581 0.013
52935.167498 r 18.049 0.007
52935.168331 i 16.883 0.005
52935.169165 u 21.956 0.227
52935.169998 z 16.224 0.008
52935.170831 g 19.536 0.013
53313.160698 r 18.110 0.007
53313.161531 i 16.930 0.005
53313.162365 u 21.683 0.236
53313.163198 z 16.255 0.008
53313.164031 g 19.539 0.014
53622.269943 r 18.027 0.007
53622.270776 i 16.894 0.005
53622.271610 u 22.862 0.882
53622.272443 z 16.209 0.009
53622.273276 g 19.503 0.017
53634.219413 r 18.208 0.013
53634.220246 i 16.961 0.007
#53634.221080 u 23.057 2.464
53634.221913 z 16.268 0.010
53634.222746 g 19.703 0.050
53636.224946 r 18.040 0.008
53636.225779 i 16.887 0.006
53636.226613 u 22.313 0.517
53636.227446 z 16.229 0.008
53636.228279 g 19.531 0.020
53638.260735 r 18.040 0.007
53638.261568 i 16.869 0.005
53638.262402 u 21.989 0.250
53638.263235 z 16.213 0.008
53638.264068 g 19.511 0.013
53655.196951 r 18.184 0.010
53655.197784 i 17.002 0.006
53655.198618 u 21.553 0.370
53655.199451 z 16.307 0.009
53655.200284 g 19.644 0.032
53664.221908 r 17.984 0.008
