51075.309741 r 16.400 0.004
51075.310574 i 15.749 0.004
51075.311408 u 20.398 0.053
51075.312241 z 15.357 0.005
51075.313074 g 17.719 0.005
52196.310255 r 16.348 0.005
52196.311088 i 15.702 0.005
52196.311922 u 20.238 0.049
52196.312755 z 15.348 0.006
52196.313588 g 17.697 0.006
52197.323360 r 16.395 0.005
52197.324193 i 15.746 0.005
52197.325027 u 20.358 0.058
52197.325860 z 15.395 0.006
52197.326693 g 17.770 0.005
52225.173549 r 16.472 0.005
52225.174382 i 15.805 0.005
52225.175216 u 20.425 0.057
52225.176049 z 15.448 0.006
52225.176882 g 17.811 0.006
52231.209333 r 16.538 0.006
52231.210166 i 15.877 0.006
52231.211000 u 20.471 0.056
52231.211833 z 15.526 0.006
52231.212666 g 17.910 0.006
52253.195503 r 16.349 0.004
52253.196336 i 15.702 0.003
52253.197170 u 20.300 0.087
52253.198003 z 15.371 0.005
52253.198836 g 17.690 0.006
52557.317334 r 16.401 0.005
52557.318167 i 15.752 0.005
52557.319001 u 20.345 0.057
52557.319834 z 15.418 0.006
52557.320667 g 17.787 0.006
52578.213419 r 16.506 0.004
52578.214252 i 15.848 0.005
52578.215086 u 20.365 0.056
52578.215919 z 15.475 0.006
52578.216752 g 17.855 0.006
52908.291900 r 16.485 0.004
52908.292733 i 15.829 0.004
52908.293567 u 20.520 0.065
52908.294400 z 15.487 0.006
52908.295233 g 17.866 0.006
52911.305687 r 16.435 0.004
52911.306520 i 15.796 0.004
52911.307354 u 20.290 0.062
52911.308187 z 15.439 0.006
52911.309020 g 17.790 0.006
52930.183059 r 16.369 0.004
52930.183892 i 15.731 0.003
52930.184726 u 20.210 0.064
52930.185559 z 15.365 0.005
52930.186392 g 17.715 0.005
52934.223801 r 16.512 0.004
52934.224634 i 15.856 0.004
52934.225468 u 20.474 0.076
52934.226301 z 15.486 0.006
52934.227134 g 17.897 0.006
52936.219728 r 16.484 0.005
52936.220561 i 15.764 0.004
52936.221395 u 20.465 0.057
52936.222228 z 15.458 0.006
52936.223061 g 17.829 0.006
52962.145250 r 16.419 0.004
52962.146083 i 15.770 0.004
52962.146917 u 20.311 0.053
52962.147750 z 15.402 0.005
52962.148583 g 17.756 0.005
53270.283820 r 16.519 0.020
53270.284653 i 15.845 0.021
53270.285487 u 20.409 0.053
53270.286320 z 15.502 0.013
53270.287153 g 17.892 0.018
53272.333732 r 16.360 0.005
53272.334565 i 15.769 0.004
53272.335399 u 20.259 0.062
53272.336232 z 15.383 0.006
53272.337065 g 17.745 0.006
53286.302450 r 16.381 0.004
53286.303283 i 15.734 0.004
53286.304117 u 20.426 0.092
53286.304950 z 15.391 0.007
53286.305783 g 17.717 0.007
53288.260940 r 16.515 0.004
53288.261773 i 15.844 0.004
53288.262607 u 20.441 0.084
53288.263440 z 15.482 0.006
53288.264273 g 17.851 0.006
53294.308617 r 16.532 0.004
53294.309450 i 15.866 0.004
53294.310284 u 20.353 0.066
53294.311117 z 15.518 0.006
53294.311950 g 17.898 0.006
53302.256609 r 16.549 0.005
53302.257442 i 15.882 0.005
53302.258276 u 20.440 0.129
53302.259109 z 15.504 0.006
53302.259942 g 17.854 0.008
53312.212177 r 16.386 0.017
53312.213010 i 15.740 0.015
53312.213843 u 20.293 0.066
53312.214677 z 15.371 0.016
53312.215510 g 17.720 0.011
53314.213338 r 16.344 0.004
53314.214171 i 15.703 0.004
53314.215005 u 20.302 0.058
53314.215838 z 15.349 0.005
53314.216671 g 17.703 0.005
53616.317702 r 16.330 0.004
53616.318535 i 15.695 0.004
53616.319369 u 20.429 0.093
53616.320202 z 15.340 0.006
53616.321035 g 17.703 0.006
53623.307914 r 16.453 0.005
53623.308747 i 15.815 0.005
#53623.309581 u -99.000 0.206
#53623.310414 z -99.000 0.009
#53623.311247 g -99.000 0.021
53626.294126 r 16.508 0.004
53626.294959 i 15.854 0.004
53626.295793 u 20.439 0.071
53626.296626 z 15.481 0.006
53626.297459 g 17.883 0.006
53628.278991 r 16.495 0.004
53628.279824 i 15.850 0.004
53628.280658 u 20.440 0.140
53628.281491 z 15.506 0.006
53628.282324 g 17.885 0.008
53637.280608 r 16.352 0.004
53637.281441 i 15.701 0.003
53637.282275 u 20.223 0.096
53637.283108 z 15.372 0.006
53637.283941 g 17.736 0.006
53639.325985 r 16.480 0.004
53639.326818 i 15.757 0.004
53639.327652 u 20.481 0.072
53639.328485 z 15.451 0.006
53639.329318 g 17.827 0.006
53654.307677 r 16.541 0.005
53654.308510 i 15.903 0.005
53654.309344 u 20.453 0.066
53654.310177 z 15.510 0.006
53654.311010 g 17.883 0.006
53663.268582 r 16.409 0.006
53663.269415 i 15.741 0.005
53663.270249 u 20.256 0.085
53663.271082 z 15.391 0.007
53663.271915 g 17.730 0.007
