51075.376805 r 17.751 0.006
51075.377638 i 17.631 0.007
51075.378472 u 19.315 0.027
51075.379305 z 17.616 0.019
51075.380138 g 18.046 0.006
51818.346457 r 17.532 0.006
51818.347290 i 17.468 0.006
51818.348124 u 18.974 0.025
51818.348957 z 17.439 0.015
51818.349790 g 17.720 0.006
52170.397454 r 17.761 0.006
52170.398287 i 17.662 0.007
52170.399121 u 19.256 0.029
52170.399954 z 17.637 0.017
52170.400787 g 18.047 0.006
52173.310837 r 17.712 0.006
52173.311670 i 17.614 0.007
52173.312504 u 19.266 0.037
52173.313337 z 17.569 0.020
52173.314170 g 18.004 0.006
52196.395973 r 17.769 0.006
52196.396806 i 17.687 0.007
52196.397640 u 19.202 0.031
52196.398473 z 17.693 0.019
52196.399306 g 17.996 0.006
52207.362770 r 17.330 0.006
52207.363603 i 17.319 0.006
52207.364437 u 18.717 0.021
52207.365270 z 17.332 0.014
52207.366103 g 17.422 0.005
52224.290968 r 17.443 0.006
52224.291801 i 17.410 0.007
52224.292635 u 18.854 0.024
52224.293468 z 17.405 0.014
52224.294301 g 17.621 0.006
52231.276385 r 17.799 0.007
52231.277218 i 17.698 0.007
52231.278052 u 19.305 0.031
52231.278885 z 17.669 0.016
52231.279718 g 18.072 0.006
52234.247475 r 17.759 0.007
52234.248308 i 17.650 0.007
52234.249142 u 19.297 0.030
52234.249975 z 17.641 0.015
52234.250808 g 18.032 0.006
52261.210831 r 17.705 0.009
52261.211664 i 17.588 0.010
52261.212498 u 19.200 0.034
52261.213331 z 17.547 0.017
52261.214164 g 17.988 0.008
52282.137460 r 17.541 0.006
52282.138293 i 17.469 0.006
52282.139127 u 19.052 0.028
52282.139960 z 17.443 0.016
52282.140793 g 17.764 0.006
52287.091322 r 17.670 0.006
52287.092155 i 17.573 0.006
52287.092989 u 19.236 0.029
52287.093822 z 17.546 0.015
52287.094655 g 17.968 0.006
52552.410026 r 17.415 0.005
52552.410859 i 17.418 0.006
52552.411693 u 18.754 0.023
52552.412526 z 17.416 0.015
52552.413359 g 17.498 0.005
52557.384384 r 17.537 0.006
52557.385217 i 17.467 0.006
52557.386051 u 19.005 0.026
52557.386884 z 17.431 0.015
52557.387717 g 17.759 0.006
52908.358950 r 17.432 0.005
52908.359783 i 17.416 0.006
52908.360617 u 18.769 0.022
52908.361450 z 17.401 0.014
52908.362283 g 17.519 0.005
52912.338389 r 17.711 0.006
52912.339222 i 17.608 0.006
52912.340056 u 19.254 0.032
52912.340889 z 17.585 0.016
52912.341722 g 17.990 0.006
52934.290854 r 17.301 0.005
52934.291687 i 17.312 0.006
52934.292521 u 18.635 0.021
52934.293354 z 17.327 0.015
52934.294187 g 17.369 0.005
52936.286780 r 17.582 0.006
52936.287613 i 17.493 0.007
52936.288447 u 19.076 0.025
52936.289280 z 17.473 0.014
52936.290113 g 17.829 0.006
53270.350839 r 17.378 0.014
#53270.351672 i -99.000 0.014
#53270.352505 u -99.000 0.183
53270.353339 z 17.374 0.015
#53270.354172 g -99.000 0.017
53272.400781 r 17.637 0.006
53272.401614 i 17.535 0.006
53272.402448 u 19.106 0.032
53272.403281 z 17.518 0.017
53272.404114 g 17.910 0.006
53286.369500 r 17.779 0.006
53286.370333 i 17.657 0.007
53286.371167 u 19.324 0.036
53286.372000 z 17.613 0.016
53286.372833 g 18.079 0.006
53288.327990 r 17.823 0.007
53288.328823 i 17.728 0.007
53288.329657 u 19.342 0.031
53288.330490 z 17.674 0.016
53288.331323 g 18.082 0.006
53294.375666 r 17.752 0.006
53294.376499 i 17.663 0.006
53294.377333 u 19.200 0.032
53294.378166 z 17.610 0.016
53294.378999 g 17.953 0.006
53296.322678 r 17.351 0.028
53296.323511 i 17.373 0.038
53296.324344 u 18.779 0.023
53296.325178 z 17.353 0.026
53296.326011 g 17.494 0.020
53298.372444 r 17.748 0.007
53298.373277 i 17.645 0.007
53298.374111 u 19.276 0.032
53298.374944 z 17.601 0.017
53298.375777 g 18.055 0.006
53302.323662 r 17.349 0.006
53302.324495 i 17.338 0.006
