     ROW    time                 energy
     1 373675503.3793459535      2299.6035156250
     2 373675503.3793459535      2185.4035644531
     3 373675503.3793459535      1733.4600830078
     4 373675503.3793459535      1864.7899169922
     5 373675503.3793459535      1853.3076171875
     6 373675503.3793459535      1974.4393310547
     7 373675503.3793459535      2435.7741699219
     8 373675503.3793459535      1905.8009033203
     9 373675506.4203760624      1958.0712890625
    10 373675506.4203760624      1910.6788330078
    11 373675506.4203760624      1851.7414550781
    12 373675506.4203760624      1905.7757568359
    13 373675506.4203760624      1810.8680419922
    14 373675506.4203760624      1900.6789550781
    15 373675509.4613862634      1813.4033203125
    16 373675509.4613862634      1851.0722656250
    17 373675509.4613862634      3182.4990234375
    18 373675509.4613862634      2444.4670410156
    19 373675509.4613862634       811.1101684570
    20 373675509.4613862634      1663.7635498047
    21 373675509.4613862634      1736.4710693359
    22 373675509.4613862634      2012.0380859375
    23 373675509.4613862634      2230.2060546875
    24 373675509.4613862634      1854.7301025391
    25 373675512.5024063587      1873.8067626953
    26 373675512.5024063587      1802.8254394531
    27 373675512.5024063587      2240.1865234375
    28 373675512.5024063587      2955.9458007812
    29 373675512.5024063587      4068.0893554688
    30 373675512.5024063587      1239.7451171875
    31 373675512.5024063587      1866.7409667969
    32 373675512.5024063587      2286.8767089844
    33 373675512.5024063587      3051.5385742188
    34 373675512.5024063587      1293.8187255859
    35 373675512.5024063587      1922.3930664062
    36 373675512.5024063587      1804.5629882812
    37 373675512.5024063587       2335.863281250
    38 373675512.5024063587      1762.1861572266
    39 373675515.5434165597      1902.0097656250
    40 373675515.5434165597      2489.9750976562
    41 373675515.5434165597       963.3892211914
    42 373675515.5434165597      2343.4233398438
    43 373675515.5434165597      1277.3929443359
    44 373675515.5434165597      1644.2292480469
    45 373675515.5434165597      1862.5209960938
    46 373675515.5434165597      1827.5833740234
    47 373675515.5434165597      1371.6427001953
    48 373675515.5434165597      3850.1696777344
    49 373675515.5434165597      1901.0340576172
    50 373675515.5434165597      2199.6240234375
    51 373675518.5844367146      1348.5919189453
    52 373675518.5844367146      3508.0495605469
    53 373675518.5844367146      3037.1997070312
    54 373675518.5844367146      2207.8388671875
    55 373675518.5844367146      2396.9025878906
    56 373675518.5844367146      1870.6801757812
    57 373675518.5844367146      2529.7280273438
    58 373675518.5844367146      1962.7313232422
    59 373675518.5844367146      1855.3160400391
    60 373675518.5844367146      1233.9774169922
    61 373675518.5844367146      2007.9534912109
    62 373675518.5844367146      3210.3715820312
    63 373675518.5844367146      1842.8272705078
    64 373675521.6254469156      1904.0560302734
    65 373675521.6254469156      2468.3454589844
    66 373675521.6254469156      1879.9947509766
    67 373675521.6254469156      1847.1009521484
    68 373675521.6254469156      3243.9577636719
    69 373675521.6254469156      1827.7019042969
    70 373675521.6254469156      3583.4418945312
    71 373675521.6254469156      1808.0877685547
    72 373675524.6664670110      1930.0285644531
    73 373675524.6664670110      1856.5825195312
    74 373675524.6664670110      2017.5992431641
    75 373675524.6664670110      2103.8232421875
    76 373675524.6664670110      3637.3925781250
    77 373675524.6664670110      1907.2072753906
    78 373675524.6664670110      1865.6773681641
    79 373675524.6664670110            2438.6250
    80 373675524.6664670110      1856.5811767578
    81 373675524.6664670110      1826.2835693359
    82 373675524.6664670110      1793.9824218750
    83 373675524.6664670110      2063.9831542969
    84 373675527.7074772120      1519.4836425781
    85 373675527.7074772120      1832.7700195312
    86 373675527.7074772120      1839.3477783203
    87 373675527.7074772120       917.7780761719
    88 373675527.7074772120      1836.7584228516
    89 373675527.7074772120      1971.1555175781
    90 373675527.7074772120      2404.6608886719
    91 373675530.7484973073      4280.1625976562
    92 373675530.7484973073      1848.4077148438
    93 373675530.7484973073      1965.0449218750
    94 373675530.7484973073       769.6627807617
    95 373675530.7484973073      1980.7719726562
    96 373675530.7484973073      1872.5084228516
    97 373675530.7484973073      2382.1621093750
    98 373675530.7484973073      1822.8314208984
    99 373675530.7484973073      1779.0509033203
   100 373675533.7895075083      1219.7207031250
   101 373675533.7895075083      2694.8374023438
   102 373675533.7895075083      1361.5609130859
   103 373675533.7895075083      1708.2973632812
   104 373675533.7895075083      1766.1516113281
   105 373675533.7895075083      1922.1339111328
   106 373675533.7895075083      1360.1423339844
   107 373675533.7895075083      2317.6650390625
   108 373675533.7895075083      2185.3884277344
   109 373675536.8305276036      1921.5985107422
   110 373675536.8305276036      1801.2346191406
   111 373675536.8305276036      2569.1645507812
   112 373675536.8305276036      1798.5919189453
   113 373675536.8305276036      2591.7209472656
   114 373675536.8305276036      1823.2556152344
   115 373675536.8305276036      1875.9543457031
   116 373675536.8305276036      2512.9111328125
   117 373675536.8305276036      1997.0328369141
   118 373675536.8305276036      1820.0673828125
   119 373675536.8305276036      1128.3218994141
   120 373675536.8305276036      1692.2702636719
   121 373675536.8305276036      1806.5285644531
   122 373675539.8715378046      1925.3664550781
   123 373675539.8715378046       697.5896606445
   124 373675539.8715378046      2471.1494140625
   125 373675539.8715378046      1493.0268554688
   126 373675539.8715378046      2046.0693359375
   127 373675539.8715378046      1877.4143066406
   128 373675539.8715378046      1530.1839599609
   129 373675539.8715378046      1762.8913574219
   130 373675539.8715378046        925.339843750
   131 373675539.8715378046      2723.2385253906
   132 373675539.8715378046      1941.2272949219
   133 373675539.8715378046      2375.4282226562
   134 373675542.9125579596      2212.7678222656
   135 373675542.9125579596      2028.3353271484
   136 373675542.9125579596        1999.85156250
   137 373675542.9125579596      2295.3505859375
   138 373675542.9125579596      1878.4669189453
   139 373675542.9125579596      1629.7552490234
   140 373675542.9125579596      1956.6036376953
   141 373675542.9125579596      1866.4523925781
   142 373675542.9125579596      2535.2434082031
   143 373675542.9125579596      1453.1347656250
   144 373675542.9125579596      1798.9326171875
   145 373675545.9535681605      1833.0633544922
   146 373675545.9535681605      1822.3259277344
   147 373675545.9535681605      1812.8686523438
   148 373675545.9535681605      1645.2434082031
   149 373675545.9535681605      1823.0119628906
   150 373675545.9535681605      1859.3382568359
   151 373675545.9535681605         2315.4218750
   152 373675545.9535681605      4231.6865234375
   153 373675545.9535681605      1841.0343017578
   154 373675548.9945882559      2448.8564453125
   155 373675548.9945882559      1598.1456298828
   156 373675548.9945882559      1339.1491699219
   157 373675548.9945882559      2146.6696777344
   158 373675548.9945882559      1604.1425781250
   159 373675548.9945882559      1951.9313964844
   160 373675548.9945882559      1991.1855468750
   161 373675548.9945882559      2364.2409667969
   162 373675548.9945882559      1896.9539794922
   163 373675548.9945882559      1392.3074951172
   164 373675548.9945882559      2218.0463867188
   165 373675548.9945882559      1484.1871337891
   166 373675548.9945882559      2198.5043945312
   167 373675552.0355984569      1969.0971679688
   168 373675552.0355984569      1874.2412109375
   169 373675552.0355984569        1946.99218750
   170 373675552.0355984569      2330.5368652344
   171 373675552.0355984569      1902.1745605469
   172 373675552.0355984569      3065.3649902344
   173 373675552.0355984569      3018.9780273438
   174 373675552.0355984569      1873.5089111328
   175 373675555.0766185522      1910.6661376953
   176 373675555.0766185522      1773.3121337891
   177 373675555.0766185522      1387.6113281250
   178 373675555.0766185522      2381.3095703125
   179 373675555.0766185522      2179.0600585938
   180 373675555.0766185522      1843.8958740234
   181 373675555.0766185522      1868.2572021484
   182 373675555.0766185522      1853.0256347656
   183 373675555.0766185522      1871.7458496094
   184 373675555.0766185522      1596.5655517578
   185 373675555.0766185522      1533.8598632812
   186 373675555.0766185522      1572.9849853516
   187 373675558.1176287532      1890.7224121094
   188 373675558.1176287532      2727.0588378906
   189 373675558.1176287532      1358.7222900391
   190 373675558.1176287532      1923.6672363281
   191 373675558.1176287532      3927.7033691406
   192 373675558.1176287532      1930.6118164062
   193 373675558.1176287532      2457.7607421875
   194 373675558.1176287532      3092.6989746094
   195 373675558.1176287532      2295.7685546875
   196 373675558.1176287532      2231.5537109375
   197 373675558.1176287532       1712.785156250
   198 373675558.1176287532      2435.7167968750
   199 373675558.1176287532      1007.6137084961
   200 373675558.1176287532      2339.5227050781
   201 373675561.1586488485      1847.3619384766
   202 373675561.1586488485      1519.6477050781
   203 373675561.1586488485      1667.8863525391
   204 373675561.1586488485      1908.9893798828
   205 373675561.1586488485      1486.9953613281
   206 373675561.1586488485      1922.1765136719
   207 373675561.1586488485      3503.9709472656
   208 373675561.1586488485      1893.3662109375
   209 373675561.1586488485      2527.4829101562
   210 373675561.1586488485      2482.7849121094
   211 373675561.1586488485      2386.7727050781
   212 373675561.1586488485      2873.8222656250
   213 373675564.1996590495      2468.8881835938
   214 373675564.1996590495      1906.0491943359
   215 373675564.1996590495      4450.7744140625
   216 373675564.1996590495      1412.9930419922
   217 373675564.1996590495       2564.378906250
   218 373675564.1996590495      1674.1743164062
   219 373675564.1996590495      1753.6162109375
   220 373675564.1996590495      1926.5255126953
   221 373675564.1996590495      1480.9836425781
   222 373675564.1996590495      1931.4962158203
   223 373675564.1996590495       977.9032592773
   224 373675564.1996590495      2281.3229980469
   225 373675564.1996590495      1709.9152832031
   226 373675567.2406791449      1951.5183105469
   227 373675567.2406791449      2922.8942871094
   228 373675567.2406791449      1850.6005859375
   229 373675567.2406791449      3211.6096191406
   230 373675567.2406791449      1925.4364013672
   231 373675567.2406791449      2784.5461425781
   232 373675567.2406791449      2180.0300292969
   233 373675567.2406791449      1921.8684082031
   234 373675567.2406791449      2059.7663574219
   235 373675567.2406791449      1657.0708007812
   236 373675567.2406791449      1881.8504638672
   237 373675567.2406791449      2805.4948730469
   238 373675570.2817092538      1917.7927246094
   239 373675570.2817092538      1807.7213134766
   240 373675570.2817092538      2162.4116210938
   241 373675570.2817092538      2480.2744140625
   242 373675570.2817092538      1951.1500244141
   243 373675570.2817092538      4607.8066406250
   244 373675570.2817092538      1984.5378417969
   245 373675570.2817092538      2534.6838378906
   246 373675570.2817092538      1964.6040039062
   247 373675570.2817092538      1880.6124267578
   248 373675570.2817092538      1810.5120849609
   249 373675570.2817092538      2075.4025878906
   250 373675573.3227095008      1866.0070800781
   251 373675573.3227095008      1542.9069824219
   252 373675573.3227095008      6573.2856445312
   253 373675573.3227095008      1969.7275390625
   254 373675573.3227095008      1920.6336669922
   255 373675573.3227095008      1255.6318359375
   256 373675573.3227095008      1908.2952880859
   257 373675573.3227095008      1285.7003173828
   258 373675573.3227095008      1840.3480224609
   259 373675576.3637395501      2827.7980957031
   260 373675576.3637395501      1087.6357421875
   261 373675576.3637395501      1917.0278320312
   262 373675576.3637395501      2511.5778808594
   263 373675576.3637395501      3024.3249511719
   264 373675576.3637395501      1890.5711669922
   265 373675576.3637395501      1091.6582031250
   266 373675576.3637395501      1853.0305175781
   267 373675576.3637395501      1307.9084472656
   268 373675576.3637395501      1808.0960693359
   269 373675576.3637395501      1438.9916992188
   270 373675576.3637395501      2411.0070800781
   271 373675579.4047397971      2470.6525878906
   272 373675579.4047397971      1847.9545898438
   273 373675579.4047397971      3458.3962402344
   274 373675579.4047397971      1776.7321777344
   275 373675579.4047397971      1864.4985351562
   276 373675579.4047397971      1835.7462158203
   277 373675579.4047397971      1444.4602050781
   278 373675579.4047397971        1211.46093750
   279 373675579.4047397971      1770.0710449219
   280 373675579.4047397971       1164.339843750
   281 373675579.4047397971      2230.1296386719
   282 373675579.4047397971      1401.1824951172
   283 373675579.4047397971      1581.4842529297
   284 373675579.4047397971      2005.7316894531
   285 373675579.4047397971      1934.5198974609
   286 373675579.4047397971      2976.1777343750
   287 373675582.4457699060      3632.5407714844
   288 373675582.4457699060      1902.1455078125
   289 373675582.4457699060      1983.3511962891
   290 373675582.4457699060      1384.7978515625
   291 373675582.4457699060       581.3178710938
   292 373675582.4457699060      1765.0979003906
   293 373675582.4457699060      2966.3950195312
   294 373675582.4457699060      2489.7888183594
   295 373675582.4457699060      1073.8005371094
   296 373675582.4457699060      1565.9924316406
   297 373675582.4457699060       1923.839843750
   298 373675582.4457699060      1037.3366699219
   299 373675585.4867801070      2094.8002929688
   300 373675585.4867801070      4347.0107421875
   301 373675585.4867801070      1360.1021728516
   302 373675585.4867801070      1533.9866943359
   303 373675585.4867801070      1819.4226074219
   304 373675585.4867801070      1831.3060302734
   305 373675585.4867801070      2447.6870117188
